job_id,job_title,job_category,experience_level,education_required,required_skills,industry,remote_work,company_size,salary_tier,source_dataset
JOB0063,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Bootcamp/Self-taught,System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,Manufacturing,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0064,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,Finance,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0065,MLOps Engineer,ML Operations,Entry (0-2 yrs),Bachelor's,Monitoring|Python|MLflow|Leadership|Cloud|Research,Energy,Hybrid,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0066,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Associate's,Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,Education,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0067,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),Bachelor's,APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,Consulting,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0068,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),PhD,Networking|Distributed Systems|CUDA|Statistics,Retail,On-site,Mid-size (501-5000),Elite (>$300k),AI Engineering (Kaggle)
JOB0069,Senior Data Scientist,Data Science,Entry (0-2 yrs),Associate's,Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,Healthcare,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0070,MLOps Engineer,ML Operations,Mid (3-5 yrs),PhD,Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,Government,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0071,AI Ethics Officer,Governance,Entry (0-2 yrs),Associate's,Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,Automotive,Fully Remote,Big Tech (FAANG+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0072,NLP Engineer,AI Engineering,Senior (6-9 yrs),Master's,Transformers|Text Processing|Python|Hugging Face|BERT|Linux|Research|Leadership,Energy,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0073,RAG Engineer,AI Engineering,Entry (0-2 yrs),PhD,Vector DBs|Embeddings|Search Systems|Git,Education,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0074,AI Engineer,AI Engineering,Mid (3-5 yrs),Associate's,Python|Cloud (AWS/GCP/Azure)|Docker|PyTorch|LLM Integration|SQL|Cloud,Manufacturing,Hybrid,Mid-size (501-5000),Entry (<$100k),AI Engineering (Kaggle)
JOB0075,Data Scientist,Data Science,Mid (3-5 yrs),Bachelor's,ML Algorithms|Scikit-learn|Data Visualization|SQL|Linux,Finance,Fully Remote,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle)
JOB0076,AI Product Manager,Product,Lead (10+ yrs),Associate's,AI Literacy|Stakeholder Mgmt|Data Analysis|Product Strategy|Agile|Git|Statistics,Government,Fully Remote,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0077,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),Bachelor's,Storage|Kubernetes|CUDA|Networking|Cloud|Distributed Systems|Agile|Problem Solving,Education,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0078,RAG Engineer,AI Engineering,Entry (0-2 yrs),Bachelor's,Search Systems|Vector DBs|Python|Embeddings|LangChain|Linux,Finance,On-site,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle)
JOB0079,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,Fine-tuning|PyTorch|Vision-Language Models|Agile|Communication,Finance,On-site,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0080,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),Bootcamp/Self-taught,Distributed Systems|Kubernetes|Networking|Statistics,Consulting,Hybrid,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0081,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),Bachelor's,Kubernetes|Distributed Systems|Cloud|Networking|Problem Solving|Statistics|Research,Media,On-site,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0082,AI Security Engineer,Security,Entry (0-2 yrs),Master's,Red Teaming|Python|Cybersecurity|Risk Analysis|Cloud,Media,Fully Remote,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0083,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),Bachelor's,Kubernetes|CUDA|Cloud|Storage|Distributed Systems|Problem Solving|Linux|Leadership,Consulting,Hybrid,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0084,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),Master's,MLOps|LLM Fine-tuning|System Design|Agile|Research|Communication,Consulting,Hybrid,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0085,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),PhD,Neural Networks|PyTorch|TensorFlow|CUDA|Python|Communication|Research,Finance,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0086,Prompt Engineer,AI Engineering,Senior (6-9 yrs),Associate's,NLP|Testing|Documentation|LLM APIs|Research|SQL,Finance,Fully Remote,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle)
JOB0087,MLOps Engineer,ML Operations,Lead (10+ yrs),PhD,CI/CD|Kubernetes|Docker|Statistics|Cloud|Problem Solving,Technology,Hybrid,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0088,AI Solutions Architect,Architecture,Entry (0-2 yrs),Master's,ML|Leadership|Enterprise Architecture|System Design|Python|Leadership|Cloud|SQL,Technology,On-site,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0089,Senior Data Scientist,Data Science,Senior (6-9 yrs),Master's,Deep Learning|Leadership|ML|Causal Inference|Advanced Statistics|SQL|Statistics,Manufacturing,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0090,AI Agent Developer,AI Engineering,Lead (10+ yrs),PhD,APIs|Python|Tool Use|Planning Systems|Problem Solving|Cloud|Linux,Consulting,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0091,Senior Data Scientist,Data Science,Lead (10+ yrs),Associate's,Leadership|Advanced Statistics|Deep Learning|Statistics|Research|Cloud,Manufacturing,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0092,Multimodal AI Engineer,AI Engineering,Lead (10+ yrs),Master's,PyTorch|Vision-Language Models|APIs|Fine-tuning|Python|Research|Statistics|Problem Solving,Manufacturing,Hybrid,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0093,LLM Engineer,AI Engineering,Mid (3-5 yrs),PhD,Fine-tuning|RAG|Vector DBs|Research|Communication|Leadership,Media,Hybrid,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0094,NLP Engineer,AI Engineering,Mid (3-5 yrs),Master's,Text Processing|LLMs|Python|BERT|Hugging Face|Leadership,Healthcare,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0095,AI Product Manager,Product,Entry (0-2 yrs),Associate's,Product Strategy|AI Literacy|Agile|Data Analysis|Stakeholder Mgmt|Research|Linux,Research,Fully Remote,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle)
JOB0096,AI Product Manager,Product,Lead (10+ yrs),Master's,AI Literacy|Product Strategy|Data Analysis|Agile|Research|Agile|Linux,Technology,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0097,LLM Engineer,AI Engineering,Senior (6-9 yrs),Bachelor's,LLM APIs|RAG|Fine-tuning|Python|Agile,Government,On-site,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0098,Computer Vision Engineer,AI Engineering,Entry (0-2 yrs),Bachelor's,CUDA|Image Processing|PyTorch|CNNs|Python|OpenCV|Problem Solving|Communication,Automotive,Fully Remote,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle)
JOB0099,Robotics Engineer (AI),Robotics,Mid (3-5 yrs),Master's,Control Systems|C++|ROS|Simulation|Computer Vision|Python|Leadership|Communication|Linux,Healthcare,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0100,AI Security Engineer,Security,Lead (10+ yrs),Master's,Cybersecurity|Red Teaming|Python|ML Security|Risk Analysis|Agile|SQL,Research,On-site,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0101,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,System Design|MLOps|LLM Fine-tuning|PyTorch|Distributed Systems|Python|Leadership|Linux|Statistics,Finance,On-site,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0102,AI Compliance Manager,Governance,Lead (10+ yrs),Associate's,Risk Management|Legal Knowledge|Auditing|Agile,Automotive,Fully Remote,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0103,NLP Engineer,AI Engineering,Entry (0-2 yrs),Associate's,Text Processing|Python|LLMs|Transformers|Leadership,Automotive,Fully Remote,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle)
JOB0104,AI Business Analyst,Business,Senior (6-9 yrs),Master's,Communication|Python|Data Visualization|Business Analysis|SQL|Leadership,Energy,Fully Remote,Big Tech (FAANG+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0105,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,LangChain|Planning Systems|Tool Use|Python|AutoGen|APIs|Linux|Research|SQL,Media,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0106,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Bachelor's,AutoGen|Tool Use|Python|Communication,Energy,Fully Remote,Enterprise (5000+),Elite (>$300k),AI Engineering (Kaggle)
JOB0107,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Master's,PyTorch|GPU Computing|TensorFlow|CUDA|Neural Networks|Python|Statistics|Agile|Leadership,Manufacturing,Hybrid,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0108,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Bachelor's,Python|TensorFlow|Neural Networks|PyTorch|Communication,Manufacturing,On-site,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0109,Computer Vision Engineer,AI Engineering,Lead (10+ yrs),Master's,OpenCV|Image Processing|CNNs|Python|SQL|Leadership|Problem Solving,Finance,Fully Remote,Enterprise (5000+),Elite (>$300k),AI Engineering (Kaggle)
JOB0110,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Associate's,Distributed Systems|MLOps|Python|LLM Fine-tuning|PyTorch|System Design|Leadership,Research,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0111,Data Scientist,Data Science,Mid (3-5 yrs),Master's,SQL|ML Algorithms|Scikit-learn|Python|Statistics|Research|Communication,Research,On-site,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0112,Senior ML Engineer,AI Engineering,Lead (10+ yrs),Associate's,Python|MLOps|LLM Fine-tuning|System Design|Problem Solving|Git,Media,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0113,ML Engineer,AI Engineering,Entry (0-2 yrs),Master's,PyTorch|Kubernetes|SQL|Cloud|Git|Agile,Healthcare,Hybrid,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0114,AI Compliance Manager,Governance,Senior (6-9 yrs),Bachelor's,Documentation|Legal Knowledge|Risk Management|Agile,Education,Hybrid,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle)
JOB0115,LLM Engineer,AI Engineering,Senior (6-9 yrs),Master's,LLM APIs|RAG|Vector DBs|Fine-tuning|Prompt Engineering|Statistics|Git,Finance,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
