job_id,job_title,job_category,experience_level,education_required,required_skills,industry,remote_work,company_size,salary_tier,source_dataset,document
JOB0011,AI Solutions Architect,Architecture,Entry (0-2 yrs),Associate's,"Cloud, Python, Leadership, Enterprise Architecture",Technology,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Solutions Architect. Category: Architecture. Experience Level: Entry (0-2 yrs). Education Required: Associate's. Required Skills: Cloud, Python, Leadership, Enterprise Architecture. Industry: Technology. Remote Work: On-site. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0012,Prompt Engineer,AI Engineering,Mid (3-5 yrs),Master's,"Documentation, Python, Prompt Design, Problem Solving",Education,Hybrid,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: Prompt Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Master's. Required Skills: Documentation, Python, Prompt Design, Problem Solving. Industry: Education. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0013,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Bootcamp/Self-taught,"LLM Fine-tuning, Python, MLOps, Problem Solving, Leadership, Statistics",Retail,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Senior ML Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Bootcamp/Self-taught. Required Skills: LLM Fine-tuning, Python, MLOps, Problem Solving, Leadership, Statistics. Industry: Retail. Remote Work: On-site. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0014,AI Solutions Architect,Architecture,Entry (0-2 yrs),Bootcamp/Self-taught,"System Design, Leadership, Cloud, Agile, Linux, Statistics",Finance,Fully Remote,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Solutions Architect. Category: Architecture. Experience Level: Entry (0-2 yrs). Education Required: Bootcamp/Self-taught. Required Skills: System Design, Leadership, Cloud, Agile, Linux, Statistics. Industry: Finance. Remote Work: Fully Remote. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0015,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Bachelor's,"Python, APIs, LangChain, Tool Use, AutoGen, Communication, Statistics, Problem Solving",Consulting,Hybrid,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Agent Developer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Bachelor's. Required Skills: Python, APIs, LangChain, Tool Use, AutoGen, Communication, Statistics, Problem Solving. Industry: Consulting. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0016,AI Agent Developer,AI Engineering,Entry (0-2 yrs),Bachelor's,"LangChain, Tool Use, Planning Systems, AutoGen, Python, Git",Research,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Agent Developer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: Bachelor's. Required Skills: LangChain, Tool Use, Planning Systems, AutoGen, Python, Git. Industry: Research. Remote Work: Fully Remote. Company Size: Mid-size (501-5000). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0017,ML Engineer,AI Engineering,Entry (0-2 yrs),PhD,"TensorFlow, Kubernetes, MLOps, Linux, Communication, Problem Solving",Healthcare,Fully Remote,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: ML Engineer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: PhD. Required Skills: TensorFlow, Kubernetes, MLOps, Linux, Communication, Problem Solving. Industry: Healthcare. Remote Work: Fully Remote. Company Size: Mid-size (501-5000). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0018,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,"GenAI APIs, Deployment, Diffusion Models, LLMs, Fine-tuning, Python, SQL",Consulting,On-site,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Generative AI Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Bachelor's. Required Skills: GenAI APIs, Deployment, Diffusion Models, LLMs, Fine-tuning, Python, SQL. Industry: Consulting. Remote Work: On-site. Company Size: Mid-size (501-5000). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0019,AI Security Engineer,Security,Senior (6-9 yrs),Bachelor's,"Risk Analysis, Python, Cybersecurity, Problem Solving",Government,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Security Engineer. Category: Security. Experience Level: Senior (6-9 yrs). Education Required: Bachelor's. Required Skills: Risk Analysis, Python, Cybersecurity, Problem Solving. Industry: Government. Remote Work: Hybrid. Company Size: Big Tech (FAANG+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0020,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Bachelor's,"Neural Networks, Python, TensorFlow, CUDA, PyTorch, Git, Agile, Leadership",Consulting,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Deep Learning Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: Bachelor's. Required Skills: Neural Networks, Python, TensorFlow, CUDA, PyTorch, Git, Agile, Leadership. Industry: Consulting. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0021,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,"PyTorch, Vision-Language Models, APIs, Fine-tuning, Research, Problem Solving",Consulting,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle),"Job Title: Multimodal AI Engineer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Bootcamp/Self-taught. Required Skills: PyTorch, Vision-Language Models, APIs, Fine-tuning, Research, Problem Solving. Industry: Consulting. Remote Work: On-site. Company Size: Big Tech (FAANG+). Salary Tier: Elite (>$300k). Source: AI Engineering (Kaggle)."
JOB0022,MLOps Engineer,ML Operations,Senior (6-9 yrs),Bachelor's,"Monitoring, Docker, Kubernetes, MLflow, SQL",Technology,On-site,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: MLOps Engineer. Category: ML Operations. Experience Level: Senior (6-9 yrs). Education Required: Bachelor's. Required Skills: Monitoring, Docker, Kubernetes, MLflow, SQL. Industry: Technology. Remote Work: On-site. Company Size: Big Tech (FAANG+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0023,AI Business Analyst,Business,Lead (10+ yrs),Bootcamp/Self-taught,"SQL, Communication, Python, Data Visualization, Business Analysis, Leadership, Research",Media,On-site,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Business Analyst. Category: Business. Experience Level: Lead (10+ yrs). Education Required: Bootcamp/Self-taught. Required Skills: SQL, Communication, Python, Data Visualization, Business Analysis, Leadership, Research. Industry: Media. Remote Work: On-site. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0024,RAG Engineer,AI Engineering,Lead (10+ yrs),Associate's,"Embeddings, LLMs, Vector DBs, Search Systems, LangChain, Python, Communication, Agile, Research",Finance,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: RAG Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: Associate's. Required Skills: Embeddings, LLMs, Vector DBs, Search Systems, LangChain, Python, Communication, Agile, Research. Industry: Finance. Remote Work: Fully Remote. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0025,NLP Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,"LLMs, Python, Transformers, Text Processing, BERT, Hugging Face, Cloud, Research, SQL",Manufacturing,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: NLP Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Bachelor's. Required Skills: LLMs, Python, Transformers, Text Processing, BERT, Hugging Face, Cloud, Research, SQL. Industry: Manufacturing. Remote Work: Hybrid. Company Size: SME (51-500). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0026,Robotics Engineer (AI),Robotics,Lead (10+ yrs),Master's,"Computer Vision, C++, Simulation, Linux, Research, Problem Solving",Energy,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: Robotics Engineer (AI). Category: Robotics. Experience Level: Lead (10+ yrs). Education Required: Master's. Required Skills: Computer Vision, C++, Simulation, Linux, Research, Problem Solving. Industry: Energy. Remote Work: Hybrid. Company Size: SME (51-500). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0027,Senior Data Scientist,Data Science,Entry (0-2 yrs),PhD,"Causal Inference, Leadership, ML, Advanced Statistics, Deep Learning, Python, Research",Technology,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Senior Data Scientist. Category: Data Science. Experience Level: Entry (0-2 yrs). Education Required: PhD. Required Skills: Causal Inference, Leadership, ML, Advanced Statistics, Deep Learning, Python, Research. Industry: Technology. Remote Work: Fully Remote. Company Size: SME (51-500). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0028,ML Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,"MLOps, Python, PyTorch, SQL, Agile, Statistics, Linux",Energy,Hybrid,SME (51-500),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: ML Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Bachelor's. Required Skills: MLOps, Python, PyTorch, SQL, Agile, Statistics, Linux. Industry: Energy. Remote Work: Hybrid. Company Size: SME (51-500). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0029,AI Business Analyst,Business,Lead (10+ yrs),Bootcamp/Self-taught,"Communication, Python, SQL, Agile, Git",Manufacturing,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Business Analyst. Category: Business. Experience Level: Lead (10+ yrs). Education Required: Bootcamp/Self-taught. Required Skills: Communication, Python, SQL, Agile, Git. Industry: Manufacturing. Remote Work: Hybrid. Company Size: Mid-size (501-5000). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0030,AI Ethics Officer,Governance,Senior (6-9 yrs),Bootcamp/Self-taught,"Research, Ethics Frameworks, Communication, Problem Solving, Cloud",Research,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Ethics Officer. Category: Governance. Experience Level: Senior (6-9 yrs). Education Required: Bootcamp/Self-taught. Required Skills: Research, Ethics Frameworks, Communication, Problem Solving, Cloud. Industry: Research. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0031,NLP Engineer,AI Engineering,Lead (10+ yrs),PhD,"LLMs, Transformers, BERT, Hugging Face, Agile, Problem Solving",Media,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle),"Job Title: NLP Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: PhD. Required Skills: LLMs, Transformers, BERT, Hugging Face, Agile, Problem Solving. Industry: Media. Remote Work: On-site. Company Size: Big Tech (FAANG+). Salary Tier: Elite (>$300k). Source: AI Engineering (Kaggle)."
JOB0032,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),Bachelor's,"Networking, Kubernetes, CUDA, Distributed Systems, Storage, Cloud, Leadership, Statistics",Research,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Infrastructure Eng. Category: Infrastructure. Experience Level: Lead (10+ yrs). Education Required: Bachelor's. Required Skills: Networking, Kubernetes, CUDA, Distributed Systems, Storage, Cloud, Leadership, Statistics. Industry: Research. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0033,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),Master's,"CUDA, GPU Computing, TensorFlow, Python, Neural Networks, Communication, Statistics",Healthcare,Hybrid,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: Deep Learning Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Master's. Required Skills: CUDA, GPU Computing, TensorFlow, Python, Neural Networks, Communication, Statistics. Industry: Healthcare. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0034,AI Infrastructure Eng,Infrastructure,Entry (0-2 yrs),Bachelor's,"Distributed Systems, CUDA, Kubernetes, Cloud, Networking, Storage, Git",Government,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Infrastructure Eng. Category: Infrastructure. Experience Level: Entry (0-2 yrs). Education Required: Bachelor's. Required Skills: Distributed Systems, CUDA, Kubernetes, Cloud, Networking, Storage, Git. Industry: Government. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0035,Senior ML Engineer,AI Engineering,Lead (10+ yrs),Associate's,"MLOps, Distributed Systems, System Design, LLM Fine-tuning, PyTorch, Python, Problem Solving, SQL, Git",Automotive,Hybrid,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: Senior ML Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: Associate's. Required Skills: MLOps, Distributed Systems, System Design, LLM Fine-tuning, PyTorch, Python, Problem Solving, SQL, Git. Industry: Automotive. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0036,AI Engineer,AI Engineering,Lead (10+ yrs),PhD,"Cloud (AWS/GCP/Azure), PyTorch, Python, Docker, LLM Integration, Problem Solving, Communication, Cloud",Finance,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: PhD. Required Skills: Cloud (AWS/GCP/Azure), PyTorch, Python, Docker, LLM Integration, Problem Solving, Communication, Cloud. Industry: Finance. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0037,MLOps Engineer,ML Operations,Senior (6-9 yrs),Bootcamp/Self-taught,"Monitoring, CI/CD, Docker, Cloud, Kubernetes, Problem Solving",Technology,Fully Remote,Big Tech (FAANG+),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: MLOps Engineer. Category: ML Operations. Experience Level: Senior (6-9 yrs). Education Required: Bootcamp/Self-taught. Required Skills: Monitoring, CI/CD, Docker, Cloud, Kubernetes, Problem Solving. Industry: Technology. Remote Work: Fully Remote. Company Size: Big Tech (FAANG+). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0038,AI Business Analyst,Business,Senior (6-9 yrs),Associate's,"Data Visualization, Communication, Python, Problem Solving",Government,Hybrid,Startup (1-50),Entry (<$100k),AI Engineering (Kaggle),"Job Title: AI Business Analyst. Category: Business. Experience Level: Senior (6-9 yrs). Education Required: Associate's. Required Skills: Data Visualization, Communication, Python, Problem Solving. Industry: Government. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Entry (<$100k). Source: AI Engineering (Kaggle)."
JOB0039,Data Scientist,Data Science,Lead (10+ yrs),Bootcamp/Self-taught,"Scikit-learn, Python, SQL, Statistics, Git",Government,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Data Scientist. Category: Data Science. Experience Level: Lead (10+ yrs). Education Required: Bootcamp/Self-taught. Required Skills: Scikit-learn, Python, SQL, Statistics, Git. Industry: Government. Remote Work: Fully Remote. Company Size: Mid-size (501-5000). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0040,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Bootcamp/Self-taught,"GPU Computing, PyTorch, TensorFlow, CUDA, Neural Networks, SQL",Consulting,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: Deep Learning Engineer. Category: AI Engineering. Experience Level: Lead (10+ yrs). Education Required: Bootcamp/Self-taught. Required Skills: GPU Computing, PyTorch, TensorFlow, CUDA, Neural Networks, SQL. Industry: Consulting. Remote Work: Hybrid. Company Size: Mid-size (501-5000). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0041,NLP Engineer,AI Engineering,Entry (0-2 yrs),Master's,"LLMs, Text Processing, Hugging Face, Python, Transformers, Linux, Cloud, Communication",Energy,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: NLP Engineer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: Master's. Required Skills: LLMs, Text Processing, Hugging Face, Python, Transformers, Linux, Cloud, Communication. Industry: Energy. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0042,AI Product Manager,Product,Entry (0-2 yrs),PhD,"Data Analysis, Agile, Product Strategy, AI Literacy, Stakeholder Mgmt, Statistics, Leadership",Media,Hybrid,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: AI Product Manager. Category: Product. Experience Level: Entry (0-2 yrs). Education Required: PhD. Required Skills: Data Analysis, Agile, Product Strategy, AI Literacy, Stakeholder Mgmt, Statistics, Leadership. Industry: Media. Remote Work: Hybrid. Company Size: Mid-size (501-5000). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0043,NLP Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,"Text Processing, Transformers, LLMs, Python, BERT, Hugging Face, Research",Finance,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: NLP Engineer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Bootcamp/Self-taught. Required Skills: Text Processing, Transformers, LLMs, Python, BERT, Hugging Face, Research. Industry: Finance. Remote Work: Hybrid. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0044,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),Associate's,"Distributed Systems, LLM Fine-tuning, MLOps, PyTorch, System Design, SQL, Git, Communication",Consulting,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: Senior ML Engineer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Associate's. Required Skills: Distributed Systems, LLM Fine-tuning, MLOps, PyTorch, System Design, SQL, Git, Communication. Industry: Consulting. Remote Work: Hybrid. Company Size: Mid-size (501-5000). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0045,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),PhD,"Cloud, CUDA, Storage, Kubernetes, Distributed Systems, Communication",Media,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Infrastructure Eng. Category: Infrastructure. Experience Level: Mid (3-5 yrs). Education Required: PhD. Required Skills: Cloud, CUDA, Storage, Kubernetes, Distributed Systems, Communication. Industry: Media. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0046,RAG Engineer,AI Engineering,Mid (3-5 yrs),Master's,"LLMs, Python, Embeddings, Vector DBs, Search Systems, LangChain, Statistics, Agile",Consulting,Fully Remote,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: RAG Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Master's. Required Skills: LLMs, Python, Embeddings, Vector DBs, Search Systems, LangChain, Statistics, Agile. Industry: Consulting. Remote Work: Fully Remote. Company Size: Enterprise (5000+). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0047,Data Scientist,Data Science,Senior (6-9 yrs),Associate's,"Python, Scikit-learn, SQL, ML Algorithms, Data Visualization, Research, Agile, Communication",Energy,Fully Remote,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: Data Scientist. Category: Data Science. Experience Level: Senior (6-9 yrs). Education Required: Associate's. Required Skills: Python, Scikit-learn, SQL, ML Algorithms, Data Visualization, Research, Agile, Communication. Industry: Energy. Remote Work: Fully Remote. Company Size: Enterprise (5000+). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0048,Multimodal AI Engineer,AI Engineering,Entry (0-2 yrs),PhD,"PyTorch, Vision-Language Models, Python, APIs, Fine-tuning, Cloud, Linux, Communication",Healthcare,Fully Remote,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Multimodal AI Engineer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: PhD. Required Skills: PyTorch, Vision-Language Models, Python, APIs, Fine-tuning, Cloud, Linux, Communication. Industry: Healthcare. Remote Work: Fully Remote. Company Size: Startup (1-50). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
